model,accuracy,precision,recall,f1_score,roc_auc
xgboost,0.7532467532467533,0.6666666666666666,0.5925925925925926,0.6274509803921569,0.8233333333333334
random_forest,0.7402597402597403,0.6521739130434783,0.5555555555555556,0.6,0.8198148148148148
tensorflow_nn,0.7142857142857143,0.6086956521739131,0.5185185185185185,0.56,0.8196296296296296
logistic_regression,0.6948051948051948,0.5777777777777777,0.48148148148148145,0.5252525252525253,0.812037037037037
