model,accuracy,precision,recall,f1_score,roc_auc
random_forest,0.8032786885245902,0.7560975609756098,0.9393939393939394,0.8378378378378378,0.8831168831168832
logistic_regression,0.8032786885245902,0.7692307692307693,0.9090909090909091,0.8333333333333334,0.8658008658008658
tensorflow_nn,0.8032786885245902,0.7560975609756098,0.9393939393939394,0.8378378378378378,0.8528138528138528
xgboost,0.7704918032786885,0.7567567567567568,0.8484848484848485,0.8,0.8452380952380952
